project,era,era_label,n_months,throughput_human,throughput_bot,throughput_total,bot_share_mean,cycle_median_human,cycle_median_bot,unique_authors_human,unique_authors_bot,comment_mean_total,comment_mean_human_est,bot_comment_share,prs_per_author_human,additions_median_human,additions_median_bot
vLLM,0,Era 0,8,37.875,0.0,37.875,0.0,0.6993576388888889,,12.5,0.0,0.8611148007197,0.8611148007197,0.0,5.871970899470899,17.5,
vLLM,1,Era 1,8,132.0,0.0,132.0,0.0,0.8185416666666667,,55.5,0.0,3.0506490975618465,2.898116642683754,0.05,2.297760869829859,13.75,
vLLM,2,Era 2,7,359.2857142857143,1.1428571428571428,360.42857142857144,0.002864981895554145,0.7623900462962963,1.097974537037037,113.0,0.2857142857142857,4.180604172580396,3.762543755322356,0.09999999999999999,3.2047776206410106,21.0,5.5
vLLM,3,Era 3,18,794.8888888888889,1.2777777777777777,796.1666666666666,0.0016259171845481434,1.041669560185185,3.039502314814815,274.3333333333333,0.5555555555555556,3.615755840160046,3.0733924641360386,0.15,2.9383077748988984,18.75,2.25
SGLang,1,Era 1,5,41.6,0.0,41.6,0.0,0.0358564814814814,,13.8,0.0,0.7388930513930513,0.7019483988233988,0.05,2.995128205128205,26.0,
SGLang,2,Era 2,7,193.42857142857142,0.14285714285714285,193.57142857142858,0.0005350454788657035,0.03237268518518515,0.0021180555555555,32.0,0.14285714285714285,0.8013094845219432,0.7211785360697489,0.09999999999999999,6.023283031748169,19.0,2.0
SGLang,3,Era 3,18,737.0555555555555,0.0,737.0555555555555,0.0,0.6184664351851852,,185.83333333333334,0.0,2.7991764100184904,2.3792999485157167,0.15,3.962950242841586,22.0,
