project,year_month,prs_merged,cycle_median_days,cycle_p90_days,unique_contributors,comment_mean,comment_median,additions_median,deletions_median,files_median,additions_mean,deletions_mean,files_mean,era,date,month_num,new_authors,returning_authors,new_ratio,prs_opened,merge_rate
SGLang,2024-01,63,0.0049768518518518,1.090011574074076,15,0.2857142857142857,0.0,26.0,4.0,3.0,100.65079365079364,31.444444444444443,5.396825396825397,1,2024-01-01,10.972404730617608,15.0,0.0,1.0,66,0.9545454545454546
SGLang,2024-02,39,0.0358564814814814,4.603972222222223,13,0.7692307692307693,0.0,16.0,3.0,2.0,44.76923076923077,50.41025641025641,3.7948717948717947,1,2024-02-01,11.990801576872535,6.0,7.0,0.46153846153846156,50,0.78
SGLang,2024-03,36,1.1475925925925927,12.015555555555554,16,1.0277777777777777,0.0,15.0,5.0,2.0,74.2,17.485714285714284,3.4571428571428573,1,2024-03-01,12.943495400788436,12.0,4.0,0.75,38,0.9473684210526315
SGLang,2024-04,22,0.09681134259259254,5.486672453703709,12,0.5909090909090909,0.0,27.5,4.5,1.0,119.18181818181819,43.77272727272727,8.5,1,2024-04-01,13.961892247043364,6.0,6.0,0.5,27,0.8148148148148148
SGLang,2024-05,48,0.008651620370370351,5.488013888888923,13,1.0208333333333333,0.0,55.0,11.0,6.0,203.5744680851064,109.08510638297872,7.9361702127659575,1,2024-05-01,14.947437582128778,6.0,7.0,0.46153846153846156,54,0.8888888888888888
SGLang,2024-06,39,0.015787037037037,3.448752314814815,10,0.23076923076923078,0.0,39.0,12.0,3.0,96.8974358974359,68.71794871794872,5.564102564102564,2,2024-06-01,15.965834428383705,4.0,6.0,0.4,45,0.8666666666666667
SGLang,2024-07,210,0.005688657407407351,0.40507986111111105,23,0.2619047619047619,0.0,15.0,4.0,2.0,75.11961722488039,24.48803827751196,3.722488038277512,2,2024-07-01,16.95137976346912,16.0,7.0,0.6956521739130435,228,0.9210526315789473
SGLang,2024-08,242,0.03656828703703695,1.2102534722222233,32,1.1487603305785123,0.0,15.0,6.0,3.0,78.95,45.4625,4.866666666666666,2,2024-08-01,17.969776609724047,21.0,11.0,0.65625,267,0.9063670411985019
SGLang,2024-09,149,0.0341898148148148,1.3084351851851856,34,1.3557046979865772,0.0,20.0,6.0,2.0,108.22448979591837,49.843537414965986,4.727891156462585,2,2024-09-01,18.988173455978973,23.0,11.0,0.6764705882352942,171,0.8713450292397661
SGLang,2024-10,208,0.0375289351851851,1.164561342592593,39,0.75,0.0,19.5,5.5,2.0,92.69607843137256,25.985294117647058,3.784313725490196,2,2024-10-01,19.97371879106439,26.0,13.0,0.6666666666666666,244,0.8524590163934426
SGLang,2024-11,266,0.03237268518518515,1.2197280092592593,48,0.8571428571428571,0.0,23.0,6.0,3.0,148.5547169811321,56.77735849056604,5.626415094339623,2,2024-11-01,20.992115637319316,30.0,18.0,0.625,311,0.8553054662379421
SGLang,2024-12,241,0.0238541666666666,2.536539351851852,38,1.012448132780083,0.0,16.0,3.0,2.0,155.5397489539749,32.41422594142259,4.372384937238493,2,2024-12-01,21.97766097240473,19.0,19.0,0.5,272,0.8860294117647058
SGLang,2025-01,312,0.0290335648148148,1.933819444444453,65,1.2467948717948718,0.0,14.0,4.0,2.0,186.14147909967846,113.70096463022509,4.408360128617363,3,2025-01-01,22.996057818659658,38.0,27.0,0.5846153846153846,383,0.814621409921671
SGLang,2025-02,242,0.0754918981481481,5.781915509259259,66,2.2231404958677685,0.0,12.0,3.0,2.0,167.0206611570248,32.735537190082646,3.4958677685950414,3,2025-02-01,24.014454664914584,33.0,33.0,0.5,381,0.6351706036745407
SGLang,2025-03,485,0.2324421296296296,9.817923611111114,129,2.2618556701030927,0.0,13.0,4.0,2.0,155.04872881355934,59.19915254237288,4.616525423728813,3,2025-03-01,24.93429697766097,75.0,54.0,0.5813953488372093,631,0.768621236133122
SGLang,2025-04,455,0.4298726851851852,11.683738425925926,110,2.024175824175824,0.0,15.0,4.0,2.0,109.71555555555555,28.975555555555555,3.2311111111111113,3,2025-04-01,25.952693823915897,52.0,58.0,0.4727272727272727,659,0.6904400606980273
